employee_id,bonus_rate
1664825,8.48
1471009,3.44
8633614,9.0
1920559,3.61
6007686,0.89
729484,9.0
4108296,9.0
4335015,9.0
6554833,5.88
530019,2.12
2026434,1.70
3965266,7.76
7225894,2.68
5059407,4.34
663549,4.70
185672,1.41
2530109,2.23
9852754,7.28
3001545,2.90
9748034,0.70
6923425,1.13
2085903,1.32
387427,5.94
2304351,4.68
5819613,9.0
1303485,8.08
6088323,1.66
9151157,1.54
7093515,7.72
2862283,5.02
556272,2.93
3820913,6.26
3156774,2.14
6363939,7.90
7424476,6.54
359212,7.87
2417875,3.97
7737551,4.73
8997189,2.84
5651391,0.99
2504404,8.33
7880464,8.15
7703655,5.50
3758331,0.23
2712877,9.0
5920661,1.35
9171839,4.74
8504016,7.45
5289613,0.96
9769764,0.84
5913625,3.81
964552,7.47
5383483,7.79
6185436,7.81
7470218,7.54
2498540,2.06
8013052,4.22
1064704,1.09
3113548,8.47
9628047,3.65
4506754,0.51
2585977,5.40
2744859,8.52
2044487,9.0
9466115,7.94
6662052,6.73
2128067,5.20
790037,1.38
252624,8.34
5109150,4.79
4809536,4.73
183406,9.0
3832293,1.25
240337,8.09
5596651,8.18
7698474,4.02
5208291,5.91
1108317,6.54
7470278,3.25
3352933,8.11
2802926,7.71
8533957,2.57
112184,5.76
7108122,5.97
7264041,6.35
2020274,1.69
78050,1.89
7464965,8.77
9733378,9.0
7425517,3.23
8496233,5.62
8836195,2.26
4446515,2.36
4358953,1.51
4742736,0.33
7017121,6.63
6325535,1.88
5397651,1.95
1904889,6.72
1532711,7.55
