product_id,product_name,brand,category,discount,pricing,supplier_id,warehouse_id
8049848,may,western,maintain,2.38,20190.35,2744065,9338636
3835023,everyone,field,as,2.48,62199.75,8330706,8432505
5863255,north,sure,yes,0.14,94291.57,9306290,9338636
9402919,outside,try,right,1.98,34112.84,9299764,9338636
5328671,traditional,generation,blue,0.26,16742.86,195160,8432505
4645196,about,realize,focus,0.28,5424.23,6271676,33529
6581287,generation,me,today,1.56,8953.29,3650691,9338636
5230644,while,eat,that,4.46,14353.91,6289733,901727
8887012,reality,when,for,5.45,85272.57,6062424,3511248
579133,president,exactly,page,2.09,57691.63,7436951,9912706
8603333,there,nor,shake,4.77,38614.12,286783,33529
3910055,behind,ten,month,7.81,35444.52,3659393,8335606
9942759,a,maintain,practice,1.78,1132.76,4395915,465826
9694793,then,enter,item,1.88,55591.08,1031883,901727
8856910,marriage,my,test,3.72,78418.92,5700064,8432505
9768059,clear,also,summer,9.0,99831.28,2433540,9912706
9123419,treat,environmental,trial,8.19,47977.46,9878440,8335606
4011195,open,left,candidate,6.00,59285.77,4299978,1329758
9833713,develop,also,thought,8.48,98163.74,9632811,8335606
5013726,we,current,require,2.38,54254.05,418493,33529
1272333,concern,another,certainly,2.73,79725.90,7374472,9912706
9240407,policy,least,member,3.90,69431.54,9250616,3511248
3669910,there,such,evening,6.96,53927.76,9203617,33529
5207027,receive,quickly,make,8.11,46549.62,5970297,1329758
7906159,throughout,approach,agent,8.98,15275.27,7795843,1329758
2429136,card,offer,bring,6.43,41305.83,5672839,465826
1923008,yet,attention,life,1.93,81923.95,7127487,8335606
2339695,occur,hot,media,3.45,17448.85,8882803,9912706
3019005,if,here,even,2.93,12892.55,850442,3511248
9647683,fund,wide,when,0.68,88882.77,9632811,9912706
9464904,contain,fine,indeed,4.56,85787.35,9807483,9338636
4058588,nice,wind,father,1.62,42527.82,5919331,33529
6748037,identify,lay,affect,1.22,82038.77,5700064,465826
5036600,up,well,listen,1.21,84815.16,2926642,9338636
5740109,morning,structure,contain,2.07,23739.24,4159113,465826
8340813,hospital,total,same,0.09,23072.75,8330706,8335606
9764749,range,around,blood,1.83,42.21,1970236,6617635
6960858,something,learn,cultural,7.39,87777.41,9807483,1329758
7041742,remember,arm,magazine,1.99,27898.72,6966470,33529
8091780,program,order,American,1.09,82805.96,1119153,9991392
6941809,officer,same,important,8.41,93816.63,6989039,9912706
2793928,treat,pay,strong,3.97,52710.78,6051952,9338636
9092932,politics,both,near,7.91,53757.43,9299764,9338636
454979,door,sense,painting,5.49,38980.46,691947,3511248
1814117,fire,whole,difficult,5.84,20655.05,2982422,8335606
8015337,stay,grow,blood,4.94,21599.15,3253497,3511248
9935917,white,before,piece,6.27,89054.62,2926642,33529
6721546,knowledge,movie,pretty,3.39,29442.73,5171460,465826
867757,individual,such,effort,5.54,71955.75,8954010,465826
4869354,law,quite,appear,3.91,79596.27,2888702,1329758
5480223,that,fill,common,9.0,70830.93,5700064,6617635
4958107,exist,forget,out,3.77,21337.32,3597923,8432505
3283763,scientist,father,arm,6.14,63174.57,8481621,8432505
9731119,policy,audience,form,5.76,76484.35,1591248,1329758
7728241,side,cut,sort,2.34,21507.86,8990400,465826
3098727,painting,hope,argue,3.89,60630.29,2982422,1329758
3881880,read,box,speak,4.49,4173.63,7385692,8432505
1894801,who,table,car,5.09,4914.80,5257543,465826
8242692,bring,cost,though,8.89,7372.29,1206915,9912706
7595931,as,money,such,0.71,95519.13,1950228,465826
2362129,side,such,thus,8.49,29336.33,1018603,8335606
9569450,any,student,someone,0.48,6731.05,7963673,3511248
9089613,executive,hundred,despite,7.66,41642.46,286783,33529
4521288,modern,area,firm,3.76,26349.11,217437,9338636
4054085,hundred,decide,treat,2.44,92247.81,7045735,465826
9091987,allow,at,operation,0.46,74722.52,3301853,465826
3428444,treatment,interview,herself,4.61,11046.60,2175568,9912706
5026548,decide,newspaper,bed,3.85,98338.56,3480959,33529
3547119,mention,treat,marriage,9.0,46435.74,3301853,8432505
1079592,your,commercial,card,9.0,96659.43,5467530,9338636
6379066,economy,explain,down,2.94,79022.81,978183,33529
3375760,not,very,west,9.0,38330.13,217437,8432505
3491962,not,fast,summer,6.93,86496.54,3480959,1329758
2054797,challenge,employee,official,0.92,99783.15,2352414,33529
7634369,by,along,strong,1.88,53577.20,2942487,33529
460722,hot,magazine,public,3.60,26888.69,3611308,901727
1515731,prove,cell,measure,7.46,93384.53,5171460,6617635
2161709,drive,control,stay,7.88,52291.64,6758873,3511248
9882051,first,behavior,than,4.82,89057.08,8882803,33529
4706795,result,activity,why,3.13,61689.79,4159113,9338636
2200267,couple,six,magazine,4.28,87368.67,7795843,6617635
15525,which,part,yourself,8.66,1028.57,305332,3511248
8825109,shake,dog,mouth,6.81,2377.42,5725710,465826
5270513,fear,last,writer,7.56,83320.76,2800658,9912706
8156995,show,fear,box,4.50,67719.13,7556731,9338636
4395091,still,enough,can,5.76,92631.02,2175568,9338636
2648993,ready,ground,social,1.23,71728.00,6692041,6617635
327080,share,quite,two,6.22,44045.45,7161787,9991392
1540670,couple,break,forget,0.50,27185.25,3974589,3511248
5374901,chair,respond,computer,6.67,65081.30,2566920,1329758
8139270,call,until,same,5.01,92202.53,9632811,9991392
1225659,find,street,it,3.37,89908.92,1185992,465826
6366939,weight,kid,him,2.90,59476.33,2815596,9991392
3737112,number,situation,during,2.93,60322.18,8440600,465826
4780519,able,recently,military,8.96,2927.07,9534817,901727
1543413,reduce,actually,anyone,4.39,58344.55,8975497,901727
1443350,receive,want,start,2.24,41089.52,6786781,9991392
7934733,public,hundred,their,9.0,73225.77,4804320,6617635
9853064,no,member,establish,5.47,49436.88,8669842,9912706
7682275,buy,movement,reveal,0.04,52826.75,666503,9991392
451512,decade,nature,might,7.36,3683.20,5312163,8335606
3926408,land,ago,more,0.28,72077.26,1222117,9912706
6232136,how,political,two,2.45,80626.42,6930780,9338636
2286639,speech,source,six,0.66,82887.82,4395915,9991392
2677842,Mr,imagine,church,3.20,43706.03,9632811,33529
7055236,month,improve,listen,6.20,37299.99,1175038,8335606
7048659,popular,thing,research,8.31,94429.00,7187075,9338636
9451544,provide,near,either,3.45,18283.37,2987982,8432505
777526,other,everything,movie,2.14,18011.69,138572,8335606
1046090,hard,sit,cut,7.86,15036.58,3659393,465826
3583128,town,fast,cold,9.0,52949.83,5171460,33529
6239332,language,voice,relate,3.90,43670.62,8969507,9991392
2357470,major,realize,into,7.45,89376.70,6335822,465826
4353266,now,movement,buy,3.20,76243.01,9306290,9912706
8066620,accept,plan,knowledge,5.11,12662.81,7963673,8432505
4732967,man,wait,effort,2.69,26822.83,5467530,8432505
8186307,value,day,general,3.64,23535.70,978183,901727
