employee_id,commission_rate
9322429,0.43
2823098,6.44
662478,7.80
6176027,5.57
1315212,5.54
6375271,5.63
1381318,9.0
6032756,9.0
4961406,3.01
9054744,9.0
521395,2.97
807277,0.15
6622576,0.22
9806518,4.93
488862,5.38
5996897,2.70
8394373,2.13
5338042,0.03
8399734,1.42
4677129,9.0
9795389,4.30
3174162,3.72
8441128,6.42
2014997,8.31
74286,1.85
8525019,1.03
1506383,0.54
9823377,9.0
29064,0.96
6462153,2.11
3309343,7.34
1400903,2.02
5276090,7.10
6608349,5.15
4862600,5.31
3766057,4.41
3901442,4.78
3034008,4.83
4566953,3.76
6023719,6.48
1237464,7.37
7165970,7.35
4007397,4.70
6970670,3.91
1291963,4.11
1622572,9.0
5494917,7.72
224810,6.03
4771284,7.33
5881707,1.41
2627212,8.05
6975669,6.08
7803668,9.0
9222548,3.92
2242743,2.37
5686769,8.08
5631733,3.23
4830195,8.61
9473936,3.64
2300960,0.06
5485390,2.36
5828759,9.0
3811678,0.57
842132,7.85
7729439,8.77
8471652,2.43
7080584,9.0
8119729,4.25
6692586,2.51
5459273,3.15
282224,2.24
6352572,4.78
8805148,0.80
753,9.0
1820422,4.75
3713495,5.80
3037488,0.41
4602127,5.27
8004821,1.48
4337282,8.51
6499701,4.28
9438349,4.31
5824360,7.00
8231850,9.0
7326330,7.63
85715,6.05
2737604,2.64
2173277,4.07
313928,9.0
1967327,8.66
4002726,7.22
4077717,3.39
7535716,9.0
7095767,8.59
1169416,4.16
4765644,9.0
2685979,2.64
872992,0.82
9471753,7.64
9754576,4.55
5984352,6.10
2216143,8.48
8198604,6.64
761639,5.40
3595178,8.50
6956933,8.07
8551638,4.40
3093877,5.56
6686995,5.34
8199943,1.42
7976340,1.29
5016392,1.12
4450880,4.36
4089668,9.0
1306352,4.26
6659635,4.13
4346248,2.26
7747958,3.86
9543619,3.33
6851430,7.07
1883629,4.75
945469,1.46
7616137,0.37
8217316,5.49
4979260,3.01
293115,2.71
702268,7.20
5028127,0.87
3404926,5.59
720455,1.14
6492279,8.46
8558972,6.01
7299639,1.00
6707373,0.42
6888780,9.0
8800259,1.96
734026,2.13
8066440,7.87
1516505,1.22
6820079,5.41
2146605,5.84
6237387,0.59
8243247,0.42
1169686,5.58
7897432,4.02
9486915,9.0
2666475,4.05
3757074,9.0
6079427,3.16
115030,5.84
9559776,9.0
5881445,3.12
3337595,4.66
1257875,7.85
1678349,0.79
6466968,7.25
1697380,4.21
4436217,7.97
3889790,0.02
9371256,0.38
2931858,7.02
4867371,4.13
6703874,4.07
5666491,0.95
42351,9.0
3920041,1.67
3305691,1.17
1981827,6.26
5165479,1.17
8019200,2.82
6656377,1.66
4844097,9.0
4907498,5.69
7170479,9.0
6264767,5.83
3425164,2.41
7955849,3.74
4301251,9.0
7603694,1.93
5291187,8.63
6218692,8.00
1083878,9.0
1832491,1.61
8884242,7.37
7583848,1.80
4872963,6.05
3280520,9.0
6415366,0.49
2598842,7.13
7474177,0.32
4616547,4.33
1769238,9.0
5722265,4.38
7125486,9.0
2119991,8.71
5627759,8.81
342251,6.95
9560770,6.85
9912055,7.75
5266295,0.93
5354948,4.08
7894380,7.61
4813315,3.69
4680779,6.79
3086019,6.05
6249796,0.03
3521878,4.98
7283627,1.57
4490661,7.86
8925348,6.63
233591,7.39
6184172,6.25
130700,7.80
1553365,8.99
4333590,8.44
1408156,8.95
8253388,6.07
8307395,5.29
7291588,2.81
9019165,7.67
2528186,1.17
6563451,0.33
7369821,5.41
9325232,0.37
9292231,2.58
8714864,7.92
2908683,9.0
6382876,7.64
5556803,3.89
5561014,2.73
2613013,9.0
8195610,3.19
338520,3.53
2675939,3.04
9451889,2.04
7597013,2.68
1477486,8.83
4840228,5.04
3382474,1.45
1953669,3.62
4625038,8.19
7330701,9.0
1574164,1.57
8665296,9.0
5840733,4.87
2722333,7.54
6643472,9.0
4935096,8.99
7151413,3.10
2422367,6.25
549861,4.54
6544026,7.50
445698,6.92
5969598,4.96
3533270,9.0
2155711,1.69
7525572,3.84
4827491,9.0
