store_id,employee_id,street,city,postcode
5053931,1532711,5431 Jenny Rapids Suite 213,concern,81813
1246324,1904889,8713 Michael Mews,agency,83768
2444624,5397651,1960 Latoya Ports,executive,53159
2299033,6325535,4214 Hensley Locks,turn,98720
300063,7017121,7151 Brown Trafficway,either,55315
912360,4742736,9076 Kennedy Mount,always,06309
6683150,4358953,7542 Murray Hill,measure,03883
6637634,4446515,7753 Aaron Field,ready,60678
1192818,8836195,88622 Sims Branch Apt. 300,word,25771
1018249,8496233,04376 Richard Mill Suite 090,sometimes,48882
968121,7425517,48886 Sloan Stream Apt. 438,bag,50011
2358126,9733378,816 Torres Squares Suite 896,purpose,49290
2908630,7464965,9723 Christy Brooks Apt. 563,gun,82470
9041198,78050,1644 Kimberly Ways,seat,03316
2429639,2020274,792 Carroll Forest Apt. 632,how,07986
2847548,7264041,0681 Potter Crest,make,69650
4839790,7108122,633 Mary Plaza Apt. 913,organization,88412
4162436,112184,5937 Boyd Inlet Suite 382,sense,76408
8182779,8533957,6776 Bautista Groves Suite 826,response,24549
7990185,2802926,17366 Courtney Row Apt. 582,room,13570
8360368,3352933,400 Lisa Isle,management,72449
5500100,7470278,3419 Michael Harbor Suite 531,person,58309
9515558,1108317,081 Teresa Meadows Apt. 234,hit,58290
8191907,5208291,007 Anderson Knolls Suite 146,commercial,22897
2207572,7698474,270 Jacob Path,kid,12489
4953020,5596651,4360 Yu Ways Suite 660,decade,82280
1069004,240337,234 Stephanie Land Apt. 032,value,50593
3353503,3832293,963 Stacy Fork,view,88219
7424035,183406,9522 Shari Lane Apt. 967,per,13678
4643706,4809536,1930 Dean Mountains Suite 314,any,05711
3893508,5109150,3496 Cassie Land,agree,79384
1355861,252624,8379 Michael Turnpike Apt. 506,seat,78303
7621211,790037,3258 Diaz Island,class,63616
3946298,2128067,3200 Baker Grove,seem,46745
7040957,6662052,11945 Dawson Corners,color,02031
6350187,9466115,85665 Brock Turnpike,kitchen,58262
4195750,2044487,44214 Pamela Gardens Suite 960,any,72320
6039903,2744859,463 Perez Lights,teacher,53121
8905278,2585977,79959 Matthew Passage,cold,46491
6029025,4506754,0775 Lyons Grove,toward,80240
7349461,9628047,353 Jones Street,consider,19565
8823178,3113548,01899 Kramer Throughway Suite 824,knowledge,17206
4662432,1064704,24513 Keith Fall,set,13965
5391647,8013052,40456 Morgan Rest Suite 060,evidence,17857
820412,2498540,70247 David Station,as,65941
3939193,7470218,155 Robert Drives,prove,10503
1249843,6185436,912 Christopher Inlet,boy,48155
4556931,5383483,761 Christopher Dale,decade,14714
46971,964552,1757 Carol Summit,lawyer,59332
6346072,5913625,99735 Gina Garden,provide,60890
9950431,9769764,490 Ronald Grove Apt. 814,notice,49639
4492129,5289613,829 Hart Ways Apt. 225,enough,19284
7452415,8504016,2505 Kayla Harbors,certain,94160
3316508,9171839,91046 Romero Meadow Apt. 945,almost,80808
9746545,5920661,85248 Deleon Radial,travel,63986
9246533,2712877,7123 Reed Station Apt. 279,politics,08056
1111066,3758331,0159 Peterson Courts,information,76051
5784393,7703655,179 Glenn Tunnel,information,34517
1668732,7880464,946 Lisa Alley Suite 611,voice,23344
8489935,2504404,17739 Troy Stravenue Suite 657,radio,33196
3130089,5651391,9066 Cheryl Wall,finish,85599
5370493,8997189,481 Mary Mission Apt. 111,will,79410
5716030,7737551,78922 Harrison Road,capital,12107
693857,2417875,0502 Hill Fork Suite 182,simply,83418
3552516,359212,627 Roy Street,night,46164
399502,7424476,922 Young Curve,rate,62424
6177638,6363939,555 Ronald Underpass,blood,55169
5134522,3156774,949 Jennifer Wall Suite 896,note,19595
8075757,3820913,38677 Fischer Track,involve,64115
3967555,556272,3379 James Islands Suite 294,smile,57209
7933317,2862283,325 Adam Mission,we,83638
4936097,7093515,9530 William Skyway Suite 491,rich,50973
2566345,9151157,1539 Huynh Tunnel Apt. 634,single,57434
6186407,6088323,8759 Patel Crest Apt. 933,tonight,69143
1564559,1303485,68844 Jesse Courts Suite 278,that,43496
